,net_income,op_income,gross_profit,crr_asst,ncrr_asst,crr_libt,ncrr_libt
2017-12-31,704.4715447154472,-23.369565217391305,-4.7050465233533485,-6.41025641025641,0.4658298465829847,-8.309218685407194,-1.9618328264429667
2016-12-31,-64.40626579080345,-18.29298116898997,-30.24939275149708,29.158512720156555,1.1793042174528696,-13.68800721370604,1.2806527124383535
2015-12-31,-107.69449176604202,-66.86620772223884,-66.36899631072649,-89.54545454545455,-73.26486790563021,-79.39824488090264,-58.049568602811654
2014-12-31,32.47232472324723,-12.285456187895212,-6.622923928644658,0.0,-38.30540658438326,-17.089249492900606,-39.53730944102701
2013-12-31,7.650273224043716,-6.385169927909372,-10.463328941589811,-6.666666666666667,-29.40564821361727,-10.275229357798166,-30.654222143583848
2012-12-31,-79.88165680473372,0.6600660066006601,-7.982832618025751,2.484472049689441,-10.05714959052613,-16.56441717791411,-9.27473368629202
2011-12-31,-21.38157894736842,13.224043715846994,-3.9978678038379534,8.181818181818182,-0.1441110965544347,-5.473856209150327,-1.3218027139140827
2010-12-31,35.77235772357724,-1.5444015444015444,-2.0127706829539145,-0.2801120448179272,0.8987142482288114,-9.33448573898012,-5.878161738510865
