Ticker,net_income,op_income,gross_profit,crr_asst,ncrr_asst,crr_libt,ncrr_libt
PNC,5338000000.0,5931000000.0,16329000000.0,0.0,380768000000.0,0.0,333183000000.0
BLK,4952000000.0,5254000000.0,11042000000.0,0.0,220241000000.0,0.0,187977000000.0
HUM,2448000000.0,4262000000.0,10271000000.0,17402000000.0,9776000000.0,9406000000.0,7930000000.0
MMM,4858000000.0,7692000000.0,15602000000.0,14277000000.0,23710000000.0,7687000000.0,18678000000.0
ALGN,231418000.0,353611000.0,1116947000.0,1158367000.0,625642000.0,500051000.0,129670000.0
AFL,4604000000.0,4258000000.0,9486000000.0,0.0,137217000000.0,0.0,112619000000.0
CHTR,-237000000.0,1020000000.0,7059000000.0,356000000.0,15381000000.0,1049000000.0,13210000000.0
CSX,5471000000.0,3501000000.0,3741000000.0,1915000000.0,33824000000.0,1894000000.0,19124000000.0
ORLY,1133804000.0,1725400000.0,4720683000.0,3397672000.0,4174213000.0,3647366000.0,3271473000.0
CNC,828000000.0,1199000000.0,5801000000.0,8703000000.0,13152000000.0,9332000000.0,5647000000.0
MDLZ,2828000000.0,3276000000.0,10034000000.0,7520000000.0,55437000000.0,15793000000.0,21090000000.0
